active_count,benign_delta_abs_mean,benign_delta_abs_sum,feature_id,group,harm_delta_abs_mean,harm_delta_abs_sum,harm_donor_mean,harm_minus_benign_delta_mean,layer,layers,rank
31.0,0.16428338913690477,13.7998046875,9362,all,0.38827630537974683,30.673828125,0.1137262658227848,0.22399291624284207,12,"12,13,14,15,16,17,18,19,20",47
34.0,0.23739769345238096,19.94140625,1261,all,0.3877076740506329,30.62890625,1.3027096518987342,0.15030998059825193,12,"12,13,14,15,16,17,18,19,20",48
18.0,0.03273809523809524,2.75,3391,all,0.38548259493670883,30.453125,0.4969837816455696,0.3527444996986136,12,"12,13,14,15,16,17,18,19,20",49
60.0,0.18262881324404762,15.3408203125,9588,all,0.3842588014240506,30.3564453125,1.5353045886075949,0.201629988180003,12,"12,13,14,15,16,17,18,19,20",50
28.0,0.11372302827380952,9.552734375,330,all,0.38308445411392406,30.263671875,0.3681640625,0.2693614258401145,12,"12,13,14,15,16,17,18,19,20",51
57.0,0.15729631696428573,13.212890625,1559,all,0.37940071202531644,29.97265625,0.5822537579113924,0.22210439506103072,12,"12,13,14,15,16,17,18,19,20",52
59.0,0.41981724330357145,35.2646484375,15879,all,0.37917820411392406,29.955078125,0.41356803797468356,-0.0406390391896474,12,"12,13,14,15,16,17,18,19,20",53
9.0,0.0,0.0,4843,all,0.37837470332278483,29.8916015625,0.4416534810126582,0.37837470332278483,12,"12,13,14,15,16,17,18,19,20",54
31.0,0.09340122767857142,7.845703125,9919,all,0.37786787974683544,29.8515625,0.30671479430379744,0.28446665206826405,12,"12,13,14,15,16,17,18,19,20",55
41.0,0.13217308407738096,11.1025390625,15223,all,0.3755191851265823,29.666015625,0.9407387262658228,0.24334610104920132,12,"12,13,14,15,16,17,18,19,20",56
29.0,0.03162202380952381,2.65625,5484,all,0.3707476265822785,29.2890625,0.7340288765822784,0.3391256027727547,12,"12,13,14,15,16,17,18,19,20",57
11.0,0.0,0.0,1914,all,0.3697957871835443,29.2138671875,0.4203916139240506,0.3697957871835443,12,"12,13,14,15,16,17,18,19,20",58
84.0,0.1988583519345238,16.7041015625,8119,all,0.36942494066455694,29.1845703125,1.8590412381329113,0.17056658873003314,12,"12,13,14,15,16,17,18,19,20",59
35.0,0.18577938988095238,15.60546875,402,all,0.3662232990506329,28.931640625,0.8380389636075949,0.1804439091696805,12,"12,13,14,15,16,17,18,19,20",60
36.0,0.033040364583333336,2.775390625,11394,all,0.36441851265822783,28.7890625,1.8281991693037976,0.3313781480748945,12,"12,13,14,15,16,17,18,19,20",61
64.0,0.17423502604166666,14.6357421875,10215,all,0.3641589200949367,28.7685546875,1.6339374011075949,0.18992389405327006,12,"12,13,14,15,16,17,18,19,20",62
45.0,0.14629836309523808,12.2890625,7075,all,0.36354084256329117,28.7197265625,0.4148660007911392,0.21724247946805308,12,"12,13,14,15,16,17,18,19,20",63
38.0,0.2445010230654762,20.5380859375,4579,all,0.352118769778481,27.8173828125,0.6879450158227848,0.10761774671300481,12,"12,13,14,15,16,17,18,19,20",64
115.0,0.6995442708333334,58.76171875,7512,all,2.0304094145569622,160.40234375,3.303154667721519,1.3308651437236287,13,"12,13,14,15,16,17,18,19,20",1
83.0,1.042573474702381,87.576171875,13617,all,1.9041238132911393,150.42578125,27.465956289556964,0.8615503385887584,13,"12,13,14,15,16,17,18,19,20",2
51.0,0.43210565476190477,36.296875,13014,all,1.2072043117088607,95.369140625,1.8728490901898733,0.7750986569469559,13,"12,13,14,15,16,17,18,19,20",3
144.0,0.4105747767857143,34.48828125,16213,all,1.1215387658227849,88.6015625,6.806319224683544,0.7109639890370706,13,"12,13,14,15,16,17,18,19,20",4
10.0,0.024855840773809524,2.087890625,5608,all,1.0765427215189873,85.046875,1.3746291534810127,1.0516868807451778,13,"12,13,14,15,16,17,18,19,20",5
22.0,0.0,0.0,12866,all,0.9989616297468354,78.91796875,1.7523734177215189,0.9989616297468354,13,"12,13,14,15,16,17,18,19,20",6
53.0,0.356689453125,29.9619140625,14941,all,0.9761669303797469,77.1171875,1.3503757911392404,0.6194774772547469,13,"12,13,14,15,16,17,18,19,20",7
46.0,0.20126488095238096,16.90625,3982,all,0.9203050830696202,72.7041015625,0.5027442642405063,0.7190402021172393,13,"12,13,14,15,16,17,18,19,20",8
48.0,0.1343936011904762,11.2890625,8170,all,0.8982397151898734,70.9609375,1.5540446993670887,0.7638461139993973,13,"12,13,14,15,16,17,18,19,20",9
