a_energy_in_b_top1024,a_energy_in_b_top256,a_energy_in_b_top512,a_energy_in_b_top64,b_energy_in_a_top1024,b_energy_in_a_top256,b_energy_in_a_top512,b_energy_in_a_top64,group_a,group_b,layer,mask,mean_residual_cosine,top1024_jaccard,top256_jaccard,top512_jaccard,top64_jaccard
0.7561213284619085,0.22918714399945342,0.427239941333344,0.06651266960072394,0.7608526578742658,0.22602514568456186,0.4101184485466394,0.06427860235904617,benign_account_recovery,benign_remove_tracking,17,target,0.6808948516845703,0.6410256410256411,0.2278177458033573,0.34914361001317523,0.16363636363636364
0.701715928713081,0.18168649565058034,0.3582531497723891,0.04531425482984614,0.7047635825199104,0.17880059439152596,0.35971320777833277,0.044849100741151095,benign_account_recovery,one_time_code,17,target,0.2412363737821579,0.5515151515151515,0.10344827586206896,0.2322503008423586,0.024
0.7199747826833648,0.20293262375083482,0.37649275678797345,0.05475085698386668,0.7225801440226282,0.19489008930453747,0.38213997450878734,0.055161177857586216,benign_account_recovery,permission_slip,17,target,0.4287507236003876,0.5753846153846154,0.15575620767494355,0.2626387176325524,0.06666666666666667
0.7378969849836791,0.21301586578299814,0.38829019694353767,0.06113969553333016,0.7341475819530033,0.2081519603638432,0.3903972447138021,0.059434443644481416,benign_account_recovery,tracking_original,17,target,0.5369281768798828,0.6062745098039216,0.18244803695150116,0.2816020025031289,0.10344827586206896
0.7091347035311641,0.187950737502382,0.3594055241816713,0.04664367380681261,0.7104323091638458,0.1789617342548768,0.36386285615275876,0.04576032879853757,benign_remove_tracking,one_time_code,17,target,0.18932093679904938,0.5645530939648586,0.13024282560706402,0.2533659730722154,0.03225806451612903
0.7196777725715838,0.20226855891586298,0.3775433748137343,0.05744303154306249,0.7237892918566734,0.20347604946782127,0.3870518447575474,0.05815548637230435,benign_remove_tracking,permission_slip,17,target,0.48887866735458374,0.574173712528824,0.1583710407239819,0.26889714993804215,0.07563025210084033
0.7881929497484087,0.26290565177388464,0.4638254359668297,0.08137411352280678,0.7830456558215292,0.2628248003652831,0.4593638581481066,0.08571486269484056,benign_remove_tracking,tracking_original,17,target,0.8234213590621948,0.6967688483844242,0.35092348284960423,0.4670487106017192,0.28
0.6991810248044666,0.18272253295156518,0.36229045843099406,0.0491492388310824,0.7080907067493867,0.18329872534340425,0.36052123310311607,0.04817486651712827,one_time_code,permission_slip,17,target,0.26546257734298706,0.5609756097560976,0.11304347826086956,0.24271844660194175,0.05785123966942149
0.7132509017264932,0.18244336139803738,0.3652646285075502,0.044906152532278476,0.7063806700064292,0.18902731381321677,0.36401082195690115,0.04711016029634193,one_time_code,tracking_original,17,target,0.21043656766414642,0.5597867479055598,0.12035010940919037,0.257985257985258,0.04065040650406504
0.730163815981221,0.2097352473146947,0.3938563626334778,0.05668352596570542,0.7264117536397312,0.20903018197083748,0.3904738185755915,0.059779873512756494,permission_slip,tracking_original,17,target,0.538541853427887,0.5912975912975913,0.19069767441860466,0.29620253164556964,0.07563025210084033
0.7497451079303882,0.23862643056152502,0.4282356081874156,0.07314937188071806,0.7541818609120465,0.24511375460315515,0.4309092387043022,0.07811265041228581,benign_account_recovery,benign_remove_tracking,18,all,0.891259491443634,0.7224558452481077,0.5468277945619335,0.5802469135802469,0.47126436781609193
0.7291032566423639,0.21740688550705967,0.39456393035820253,0.06192001769704765,0.720295618341091,0.21168378952078032,0.38839418523894903,0.059403502399218655,benign_account_recovery,one_time_code,18,all,0.7580318450927734,0.656957928802589,0.3989071038251366,0.4463276836158192,0.24271844660194175
0.7363931018935514,0.22285898184945122,0.40652997389359513,0.07075450577216662,0.7351748397195623,0.2251568757941404,0.403143128005703,0.06883939555559106,benign_account_recovery,permission_slip,18,all,0.8165122270584106,0.7009966777408638,0.4422535211267606,0.5125553914327917,0.4065934065934066
