condition,max_i_minus_it,mean_i_minus_it,min_i_minus_it,n,split,top_i_rate,top_it_rate
bundle_patch_random_seed240524_top33_k14_068,-3.953125,-3.953125,-3.953125,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_068,-0.078125,-0.078125,-0.078125,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_069,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_069,-0.640625,-0.640625,-0.640625,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_070,-3.9765625,-3.9765625,-3.9765625,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_070,-0.09375,-0.09375,-0.09375,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_071,-3.9609375,-3.9609375,-3.9609375,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_071,-0.078125,-0.078125,-0.078125,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_072,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_072,-0.53125,-0.53125,-0.53125,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_073,-3.9765625,-3.9765625,-3.9765625,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_073,-0.125,-0.125,-0.125,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_074,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_074,-0.578125,-0.578125,-0.578125,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_075,-3.9765625,-3.9765625,-3.9765625,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_075,-0.5,-0.5,-0.5,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_076,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_076,-0.53125,-0.53125,-0.53125,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_077,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_077,-0.15625,-0.15625,-0.15625,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_078,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_078,-0.109375,-0.109375,-0.109375,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_079,-3.9765625,-3.9765625,-3.9765625,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_079,-0.46875,-0.46875,-0.46875,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_080,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_080,-0.46875,-0.46875,-0.46875,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_081,-3.9765625,-3.9765625,-3.9765625,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_081,-0.578125,-0.578125,-0.578125,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_082,-3.953125,-3.953125,-3.953125,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_082,-0.484375,-0.484375,-0.484375,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_083,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_083,-0.125,-0.125,-0.125,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_084,-3.9453125,-3.9453125,-3.9453125,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_084,-0.53125,-0.53125,-0.53125,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_085,-3.9453125,-3.9453125,-3.9453125,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_085,-0.5,-0.5,-0.5,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_086,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_086,-0.125,-0.125,-0.125,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_087,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_087,-0.5625,-0.5625,-0.5625,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_088,-3.9765625,-3.9765625,-3.9765625,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_088,-0.578125,-0.578125,-0.578125,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_089,-3.9765625,-3.9765625,-3.9765625,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_089,-0.578125,-0.578125,-0.578125,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_090,-3.9765625,-3.9765625,-3.9765625,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_090,-0.515625,-0.515625,-0.515625,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_091,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_091,-0.125,-0.125,-0.125,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_092,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_092,-0.453125,-0.453125,-0.453125,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_093,-3.984375,-3.984375,-3.984375,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_093,-0.5625,-0.5625,-0.5625,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_094,-3.9765625,-3.9765625,-3.9765625,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_094,-0.09375,-0.09375,-0.09375,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_095,-3.9453125,-3.9453125,-3.9453125,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_095,-0.09375,-0.09375,-0.09375,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_096,-3.953125,-3.953125,-3.953125,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_096,-0.5,-0.5,-0.5,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_097,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_097,-0.53125,-0.53125,-0.53125,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_098,-3.9453125,-3.9453125,-3.9453125,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_098,-0.546875,-0.546875,-0.546875,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_099,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_099,-0.578125,-0.578125,-0.578125,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_100,-3.9453125,-3.9453125,-3.9453125,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_100,-0.109375,-0.109375,-0.109375,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_101,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_101,-0.0625,-0.0625,-0.0625,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_102,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_102,-0.5625,-0.5625,-0.5625,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_103,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_103,-0.453125,-0.453125,-0.453125,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_104,-3.9765625,-3.9765625,-3.9765625,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_104,-0.5,-0.5,-0.5,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_105,-3.9609375,-3.9609375,-3.9609375,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_105,-0.15625,-0.15625,-0.15625,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_106,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_106,-0.140625,-0.140625,-0.140625,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_107,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_107,-0.109375,-0.109375,-0.109375,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_108,-3.9609375,-3.9609375,-3.9609375,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_108,-0.109375,-0.109375,-0.109375,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_109,-3.9453125,-3.9453125,-3.9453125,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_109,-0.5,-0.5,-0.5,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_110,-3.9765625,-3.9765625,-3.9765625,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_110,-0.078125,-0.078125,-0.078125,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_111,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_111,-0.546875,-0.546875,-0.546875,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_112,-3.953125,-3.953125,-3.953125,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_112,-0.46875,-0.46875,-0.46875,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_113,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_113,-0.484375,-0.484375,-0.484375,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_114,-3.953125,-3.953125,-3.953125,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_114,-0.59375,-0.59375,-0.59375,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_115,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_115,-0.546875,-0.546875,-0.546875,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_116,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_116,-0.109375,-0.109375,-0.109375,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_117,-3.953125,-3.953125,-3.953125,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_117,-0.484375,-0.484375,-0.484375,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_118,-3.9453125,-3.9453125,-3.9453125,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_118,-0.125,-0.125,-0.125,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_119,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_119,-0.015625,-0.015625,-0.015625,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_120,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_120,-0.515625,-0.515625,-0.515625,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_121,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_121,-0.09375,-0.09375,-0.09375,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_122,-3.9609375,-3.9609375,-3.9609375,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_122,-0.03125,-0.03125,-0.03125,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_123,-3.953125,-3.953125,-3.953125,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_123,-0.578125,-0.578125,-0.578125,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_124,-3.9765625,-3.9765625,-3.9765625,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_124,-0.09375,-0.09375,-0.09375,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_125,-3.9765625,-3.9765625,-3.9765625,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_125,-0.53125,-0.53125,-0.53125,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_126,-3.9765625,-3.9765625,-3.9765625,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_126,-0.0625,-0.0625,-0.0625,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_127,-3.9765625,-3.9765625,-3.9765625,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_127,-0.046875,-0.046875,-0.046875,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_128,-3.953125,-3.953125,-3.953125,1,benign,0.0,0.0
