rank,layer,feature_id,positive_alignment,signed_alignment,contribution_norm,feature_delta_abs,donor_mean,recipient_mean,active_fraction,token_count
107,20,3580,57.44855499267578,57.44855499267578,25.250131607055664,0.0625,0.1578125,0.158203125,0.00625,160
108,20,8800,56.47052001953125,56.47052001953125,51.51560592651367,1.71875,0.32197265625,0.33232421875,0.01875,160
109,20,5723,55.50999450683594,55.50999450683594,29.5627498626709,2.90625,0.184765625,0.1677734375,0.01875,160
110,20,8489,55.19880294799805,55.19880294799805,109.5394515991211,3.8125,0.684619140625,0.67353515625,0.125,160
111,20,14230,55.067352294921875,55.067352294921875,117.42820739746094,4.5390625,0.733935546875,0.70654296875,0.10625,160
112,20,3877,54.60514831542969,54.60514831542969,30.17168617248535,1.046875,0.18857421875,0.186328125,0.03125,160
113,20,8294,54.51727294921875,54.51727294921875,33.53123092651367,0.3984375,0.2095703125,0.209619140625,0.025,160
114,20,10252,53.99073791503906,53.99073791503906,50.88374710083008,9.05078125,0.318017578125,0.3053466796875,0.06875,160
115,20,251,52.77912139892578,52.77912139892578,67.08555603027344,1.40625,0.419287109375,0.426220703125,0.0375,160
116,20,8575,52.49346160888672,52.49346160888672,54.070743560791016,7.09375,0.337939453125,0.293603515625,0.03125,160
117,20,8943,52.097862243652344,52.097862243652344,137.554931640625,7.8828125,0.859716796875,0.8658203125,0.08125,160
118,20,4107,52.01827621459961,52.01827621459961,21.59407615661621,0.265625,0.1349609375,0.13330078125,0.00625,160
119,20,9600,51.742794036865234,51.742794036865234,40.093894958496094,7.640625,0.2505859375,0.20283203125,0.0375,160
120,20,13056,50.89506530761719,50.89506530761719,30.077587127685547,0.2421875,0.18798828125,0.187646484375,0.01875,160
121,20,355,50.602691650390625,50.602691650390625,16.414037704467773,1.1875,0.102587890625,0.095166015625,0.0125,160
122,20,2083,50.56586456298828,50.56586456298828,42.10126876831055,1.203125,0.263134765625,0.255615234375,0.03125,160
123,20,950,50.33842086791992,50.33842086791992,26.593603134155273,0.078125,0.1662109375,0.16572265625,0.0125,160
124,20,1279,50.00354766845703,50.00354766845703,50.52734375,5.19140625,0.3157958984375,0.32177734375,0.08125,160
125,20,8243,49.881813049316406,49.881813049316406,55.11024856567383,11.4140625,0.34443359375,0.320263671875,0.08125,160
126,20,5001,49.76338577270508,49.76338577270508,61.0789909362793,1.0546875,0.38173828125,0.388330078125,0.08125,160
127,20,8776,49.584861755371094,49.584861755371094,79.90656280517578,11.265625,0.4994140625,0.5587890625,0.0875,160
128,20,5739,49.53624725341797,49.53624725341797,88.27684020996094,6.73046875,0.5517333984375,0.5134765625,0.1125,160
129,20,7700,49.442420959472656,49.442420959472656,31.679458618164062,4.765625,0.197998046875,0.192431640625,0.01875,160
130,20,7950,48.72480392456055,48.72480392456055,30.007564544677734,0.3125,0.187548828125,0.185595703125,0.0125,160
131,20,1442,48.66790008544922,48.66790008544922,8.281204223632812,0.109375,0.0517578125,0.05107421875,0.00625,160
132,20,9210,48.52482604980469,48.52482604980469,29.85879898071289,3.84375,0.18662109375,0.21044921875,0.04375,160
133,20,10098,47.8526611328125,47.8526611328125,50.37540054321289,4.37109375,0.31484375,0.3416748046875,0.05,160
134,20,14317,47.80663299560547,47.80663299560547,104.8855209350586,7.86328125,0.6555419921875,0.66044921875,0.11875,160
135,20,1200,47.540016174316406,47.540016174316406,59.03143310546875,4.046875,0.3689453125,0.34404296875,0.06875,160
136,20,2453,47.52028274536133,47.52028274536133,59.058204650878906,4.49609375,0.3691162109375,0.3447265625,0.025,160
137,20,5326,47.030189514160156,47.030189514160156,57.183494567871094,8.08984375,0.3573974609375,0.342626953125,0.06875,160
138,20,5573,46.38273620605469,46.38273620605469,84.1998519897461,2.9921875,0.5262451171875,0.5177978515625,0.0875,160
139,20,4869,46.337032318115234,46.337032318115234,23.929340362548828,2.93359375,0.149560546875,0.1666259765625,0.01875,160
140,20,12313,45.738525390625,45.738525390625,80.17713928222656,5.71875,0.50111083984375,0.52850341796875,0.09375,160
141,20,8527,45.71767807006836,45.71767807006836,125.75790405273438,2.5703125,0.785986328125,0.79931640625,0.05,160
142,20,2960,45.31787109375,45.31787109375,32.03953552246094,1.796875,0.200244140625,0.196240234375,0.01875,160
143,20,13886,45.09860610961914,45.09860610961914,23.52352523803711,0.6796875,0.147021484375,0.14755859375,0.01875,160
144,20,10161,44.908382415771484,44.908382415771484,47.37528991699219,0.265625,0.29609375,0.29541015625,0.025,160
145,20,9775,44.20089340209961,44.20089340209961,24.625261306762695,0.34375,0.15390625,0.15556640625,0.025,160
146,20,11279,44.00579833984375,44.00579833984375,14.312703132629395,0.046875,0.089453125,0.08974609375,0.00625,160
147,20,1996,43.66695022583008,43.66695022583008,31.738178253173828,3.14453125,0.1983642578125,0.217138671875,0.0125,160
148,20,27,43.51667785644531,43.51667785644531,55.04663848876953,7.6484375,0.34404296875,0.391845703125,0.05625,160
149,20,6409,43.489601135253906,43.489601135253906,79.67210388183594,7.0234375,0.49794921875,0.490087890625,0.08125,160
150,20,9485,43.48126983642578,43.48126983642578,22.15851402282715,0.85546875,0.13848876953125,0.14193115234375,0.0375,160
151,20,12779,43.48103332519531,43.48103332519531,19.78131866455078,2.6953125,0.1236328125,0.140478515625,0.00625,160
152,20,10290,43.254268646240234,43.254268646240234,17.878759384155273,0.515625,0.1117431640625,0.1120361328125,0.03125,160
153,20,12225,42.66999816894531,42.66999816894531,89.50807189941406,1.640625,0.559423828125,0.559130859375,0.125,160
154,20,9918,42.51116180419922,42.51116180419922,88.26563262939453,9.48828125,0.55166015625,0.4923583984375,0.0625,160
155,20,16175,42.50696563720703,42.50696563720703,72.90705108642578,0.21875,0.4556640625,0.454296875,0.0125,160
156,20,1487,42.10179901123047,42.10179901123047,30.15579605102539,2.3984375,0.1884765625,0.173486328125,0.03125,160
157,20,13409,42.02259063720703,42.02259063720703,52.093528747558594,3.21875,0.3255859375,0.31083984375,0.04375,160
158,20,2404,41.6891975402832,41.6891975402832,43.734500885009766,0.9921875,0.27333984375,0.269775390625,0.04375,160
159,20,12942,41.347660064697266,41.347660064697266,69.6328125,0.46875,0.435205078125,0.433447265625,0.025,160
160,20,15414,41.260765075683594,41.260765075683594,114.47992706298828,6.07421875,0.7155029296875,0.700048828125,0.15625,160
161,20,3617,41.08001708984375,41.08001708984375,47.4641227722168,5.13671875,0.2966552734375,0.278369140625,0.04375,160
162,20,12976,40.63427734375,40.63427734375,13.01561450958252,0.28125,0.08134765625,0.08310546875,0.00625,160
163,20,5548,40.57300567626953,40.57300567626953,6.492270469665527,0.171875,0.040576171875,0.039501953125,0.00625,160
164,20,3197,40.49343490600586,40.49343490600586,33.07004928588867,0.5,0.206689453125,0.206884765625,0.04375,160
165,20,6516,40.313697814941406,40.313697814941406,27.726581573486328,0.6875,0.173291015625,0.168994140625,0.01875,160
166,20,12078,40.14655303955078,40.14655303955078,15.312527656555176,0.078125,0.095703125,0.0955078125,0.025,160
167,20,10676,40.05624008178711,40.05624008178711,19.68763542175293,0.375,0.123046875,0.120703125,0.01875,160
168,20,10986,39.939422607421875,39.939422607421875,31.796831130981445,0.484375,0.19873046875,0.20078125,0.05,160
169,20,11346,39.82512664794922,39.82512664794922,38.68798828125,0.0625,0.241796875,0.24140625,0.00625,160
170,20,363,39.461021423339844,39.461021423339844,36.023529052734375,0.6640625,0.225146484375,0.22802734375,0.025,160
171,20,12761,39.18354415893555,39.18354415893555,32.60921096801758,1.0,0.20380859375,0.1986328125,0.04375,160
172,20,7776,38.984580993652344,38.984580993652344,103.44791412353516,13.9609375,0.6465576171875,0.7244873046875,0.1625,160
173,20,13759,38.90348815917969,38.90348815917969,26.843713760375977,1.015625,0.1677734375,0.1681640625,0.03125,160
174,20,12045,38.41426086425781,38.41426086425781,15.7578763961792,3.0625,0.098486328125,0.079345703125,0.00625,160
175,20,12735,38.38758087158203,38.38758087158203,14.828224182128906,0.203125,0.09267578125,0.0921875,0.01875,160
176,20,15445,38.07205581665039,38.07205581665039,21.066646575927734,0.3359375,0.1316650390625,0.1295654296875,0.0125,160
177,20,9955,38.060691833496094,38.060691833496094,21.669931411743164,1.072265625,0.13543701171875,0.1345947265625,0.03125,160
178,20,4808,38.04649353027344,38.04649353027344,15.781164169311523,0.421875,0.0986328125,0.0962890625,0.01875,160
179,20,11002,38.02473449707031,38.02473449707031,18.86495590209961,0.65625,0.11790771484375,0.11693115234375,0.0125,160
180,20,10045,37.82039260864258,37.82039260864258,22.515899658203125,0.234375,0.14072265625,0.13984375,0.03125,160
181,20,2726,37.81257247924805,37.81257247924805,12.031240463256836,0.5078125,0.0751953125,0.076123046875,0.025,160
182,20,1420,37.78229522705078,37.78229522705078,57.66828536987305,0.453125,0.3604248046875,0.3607177734375,0.025,160
183,20,6678,37.71864318847656,37.71864318847656,20.648286819458008,1.515625,0.129052734375,0.119580078125,0.03125,160
184,20,14283,37.6907958984375,37.6907958984375,16.5354061126709,1.59375,0.1033447265625,0.0933837890625,0.0125,160
185,20,3174,37.668357849121094,37.668357849121094,16.93736457824707,0.375,0.105859375,0.108203125,0.01875,160
186,20,1039,37.665218353271484,37.665218353271484,29.054767608642578,0.078125,0.181591796875,0.181591796875,0.01875,160
187,20,9552,37.62368392944336,37.62368392944336,40.42229461669922,0.6796875,0.25263671875,0.251025390625,0.05625,160
188,20,2454,37.563297271728516,37.563297271728516,12.828047752380371,0.3984375,0.08017578125,0.078271484375,0.01875,160
189,20,15820,37.36747741699219,37.36747741699219,31.292972564697266,0.91796875,0.1955810546875,0.195654296875,0.05,160
