active_count,benign_delta_abs_mean,benign_delta_abs_sum,feature_id,group,harm_delta_abs_mean,harm_delta_abs_sum,harm_donor_mean,harm_minus_benign_delta_mean,layer,layers,rank
3.0,0.0,0.0,15036,l19_tail,0.11694026898734178,9.23828125,0.11694026898734178,0.11694026898734178,19,19,91
6.0,0.07040550595238096,5.9140625,7062,l19_tail,0.1166435917721519,9.21484375,0.1166435917721519,0.046238085819770944,19,19,92
13.0,0.012974330357142858,1.08984375,3396,l19_tail,0.11659414556962025,9.2109375,0.35705102848101267,0.10361981521247739,19,19,93
5.0,0.03129650297619048,2.62890625,7346,l19_tail,0.11654469936708861,9.20703125,0.1555083069620253,0.08524819639089813,19,19,94
3.0,0.0,0.0,13218,l19_tail,0.11624802215189874,9.18359375,0.11624802215189874,0.11624802215189874,19,19,95
13.0,0.07677641369047619,6.44921875,6247,l19_tail,0.11619857594936708,9.1796875,0.27660205696202533,0.03942216225889089,19,19,96
3.0,0.0,0.0,7754,l19_tail,0.11619857594936708,9.1796875,0.11619857594936708,0.11619857594936708,19,19,97
6.0,0.004557291666666667,0.3828125,3129,l19_tail,0.11614912974683544,9.17578125,0.07575158227848101,0.11159183808016877,19,19,98
6.0,0.022135416666666668,1.859375,12204,l19_tail,0.11609968354430379,9.171875,0.36194620253164556,0.09396426687763712,19,19,99
5.0,0.029482886904761904,2.4765625,9697,l19_tail,0.11609968354430379,9.171875,0.08049841772151899,0.08661679663954189,19,19,100
4.0,0.02269345238095238,1.90625,9164,l19_tail,0.11609968354430379,9.171875,0.2086629746835443,0.09340623116335141,19,19,101
4.0,0.0009300595238095238,0.078125,4391,l19_tail,0.1160007911392405,9.1640625,0.0,0.11507073161543098,19,19,102
3.0,0.0,0.0,1050,l19_tail,0.11595134493670886,9.16015625,0.0,0.11595134493670886,19,19,103
3.0,0.0,0.0,6918,l19_tail,0.11585245253164557,9.15234375,0.11585245253164557,0.11585245253164557,19,19,104
5.0,0.0006975446428571429,0.05859375,1737,l19_tail,0.11585245253164557,9.15234375,0.04113924050632911,0.11515490788878843,19,19,105
3.0,0.0,0.0,12518,l19_tail,0.11575356012658228,9.14453125,0.11575356012658228,0.11575356012658228,19,19,106
3.0,0.0,0.0,2424,l19_tail,0.11570411392405064,9.140625,0.11570411392405064,0.11570411392405064,19,19,107
3.0,0.005952380952380952,0.5,15002,l19_tail,0.11560522151898735,9.1328125,0.11560522151898735,0.1096528405666064,19,19,108
3.0,0.0,0.0,11328,l19_tail,0.11560522151898735,9.1328125,0.038765822784810125,0.11560522151898735,19,19,109
3.0,0.00013950892857142856,0.01171875,16048,l19_tail,0.11550632911392406,9.125,0.03357397151898734,0.11536682018535263,19,19,110
4.0,0.0078125,0.65625,10905,l19_tail,0.1154568829113924,9.12109375,0.08049841772151899,0.1076443829113924,19,19,111
3.0,0.0,0.0,2299,l19_tail,0.11540743670886076,9.1171875,0.06917523734177215,0.11540743670886076,19,19,112
4.0,0.001720610119047619,0.14453125,16232,l19_tail,0.11535799050632911,9.11328125,0.0,0.1136373803872815,19,19,113
3.0,0.0,0.0,12988,l19_tail,0.11535799050632911,9.11328125,0.044353243670886076,0.11535799050632911,19,19,114
8.0,0.062337239583333336,5.236328125,16245,l19_tail,0.11513548259493671,9.095703125,0.15110759493670886,0.05279824301160337,19,19,115
3.0,0.0,0.0,3541,l19_tail,0.1150118670886076,9.0859375,0.04371044303797468,0.1150118670886076,19,19,116
10.0,0.017764136904761904,1.4921875,2090,l19_tail,0.11481408227848101,9.0703125,0.23833069620253164,0.09704994537371911,19,19,117
4.0,0.02878534226190476,2.41796875,13592,l19_tail,0.11456685126582279,9.05078125,0.11456685126582279,0.08578150900391804,19,19,118
4.0,0.010881696428571428,0.9140625,14131,l19_tail,0.11451740506329114,9.046875,0.03792523734177215,0.10363570863471971,19,19,119
3.0,0.0,0.0,5224,l19_tail,0.11436906645569621,9.03515625,0.0,0.11436906645569621,19,19,120
3.0,0.0,0.0,8081,l19_tail,0.11431962025316456,9.03125,0.11431962025316456,0.11431962025316456,19,19,121
4.0,0.031203497023809524,2.62109375,12339,l19_tail,0.11417128164556962,9.01953125,0.11417128164556962,0.0829677846217601,19,19,122
9.0,0.043712797619047616,3.671875,11776,l19_tail,0.11392405063291139,9.0,0.3400909810126582,0.07021125301386377,19,19,123
4.0,0.0008835565476190476,0.07421875,11425,l19_tail,0.11387460443037975,8.99609375,0.11387460443037975,0.11299104788276071,19,19,124
4.0,0.029436383928571428,2.47265625,14026,l19_tail,0.11367681962025317,8.98046875,0.0,0.08424043569168174,19,19,125
4.0,0.04482886904761905,3.765625,12362,l19_tail,0.11362737341772151,8.9765625,0.11362737341772151,0.06879850437010246,19,19,126
4.0,0.0,0.0,10241,l19_tail,0.11362737341772151,8.9765625,0.14413568037974683,0.11362737341772151,19,19,127
4.0,0.002418154761904762,0.203125,11272,l19_tail,0.11342958860759493,8.9609375,0.11342958860759493,0.11101143384569016,19,19,128
